varSource,DAM_NAME,varMaterial,sintYearCommissioned,decCrestElevation,decCrestLength,decHeight,decCapacity,LATITUDE_DD,LONGITUDE_DD,,,OWNERSHIP,Maj_Upgrad,Structure,Start Construction,Turbine Generations ,Spillways,Intake Gates,Powerhouse length (m),
ODI ,Kashwakamak Lake Dam,,,,,,,44.8922421,-76.9586355,,,Conservation Authority,,,,,,,,
ODI ,,,,,,,,44.9099051,-77.8838145,,,Private,,,,,,,,
ODI ,Smiths Creek:14021,,,,,,,44.12418,-77.1346,,,Private,,,,,,,,
ODI ,Vanuven Lake Trib:14042,,,,,,,44.5133357,-76.7045161,,,Private,,,,,,,,
ODI ,Kinago,,,,,,,49.5947094,-87.8463515,,,Private,,,,,,,,
ODI ,,,,,,,,46.3835991,-82.6084387,,,Private,,,,,,,,
ODI ,Elliot Chute Dam,,,,,,,46.0603157,-79.3903753,,,Ontario Power Generation,,,,,,,,
ODI ,,,,,,,,46.6571648,-81.3233675,,,Private,,,,,,,,
ODI ,,,,,,,,46.5700778,-80.9008325,,,Private,,,,,,,,
ODI ,McCreights Dam,,,,,,,46.3271983,-83.5051914,,,Provincial,,,,,,,,
ODI ,Ramsay Lake Dam,,,,,,,49.4430851,-85.7916214,,,Private,,,,,,,,
ODI ,Agimak Lake Dam,,,,,,,49.4102383,-91.6719728,,,Provincial,,,,,,,,
ODI ,Hardy Dam,,,,,,,48.7788178,-91.5503066,,,Provincial,,,,,,,,
ODI ,Black Sturgeon - Dolans Dam,,,,,,,49.1510359,-88.6120012,,,Provincial,,,,,,,,
ODI ,Wolf Lake Dam,,,,,,,48.861508,-88.6177318,,,Provincial,,,,,,,,
ODI ,Raft Lake Dam,,,,,,,48.916767,-91.544373,,,Private,,,,,,,,
ODI ,1A Dam,,,,,,,48.832995,-91.586443,,,Private,,,,,,,,
ODI ,Cooper's Pond Dam,,,,,,,45.1732807,-79.4183467,,,Provincial,,,,,,,,
ODI ,Maskinonge Dam,,,,,,,46.7212757,-80.4516334,,,Provincial,,,,,,,,
ODI ,Rydal Bank (Ottertail) Dam,,,,,,,46.3655233,-83.7419369,,,Provincial,,,,,,,,
ODI ,Caledon Lake,,,,,,,43.8773514,-80.1037901,,,Private,,,,,,,,
ODI ,Bailey Creek Tributary:7800,,,,,,,44.042171,-79.907311,,,Private,,,,,,,,
ODI ,Innisfil Creek Tributary:7847,,,,,,,44.19115,-79.61874,,,Private,,,,,,,,
ODI ,Mad River Tributary:8173,,,,,,,44.33562,-80.26762,,,Private,,,,,,,,
ODI ,Noisy River Tributary:8446,,,,,,,44.2460998,-80.2267466,,,Private,,,,,,,,
ODI ,Uxbridge Mill Pond,,,,,,,44.1053729,-79.1191875,,,Municipal,,,,,,,,
ODI ,,,,,,,,44.0723142,-79.4544692,,,Municipal,,,,,,,,
ODI ,Baxter Creek:7400,,,,,,,44.1772,-78.3992,,,Private,,,,,,,,
ODI ,Warsaw Dam,,,,,,,44.4304,-78.1364,,,Private,,,,,,,,
ODI ,,,,,,,,44.1953572,-77.3938326,,,Private,,,,,,,,
ODI ,,,,,,,,44.3063123,-76.899544,,,Private,,,,,,,,
ODI ,,,,,,,,44.4152647,-76.3110813,,,Federal,,,,,,,,
ODI ,Wishart Dam,,,,,,,48.3919143,-90.2068335,,,Provincial,,,,,,,,
ODI ,GSCA090A,,,,,,,44.3027723,-80.4340238,,,Private,,,,,,,,
ODI ,GSCA069 (SLABTOWN DAM),,,,,,,44.5198394,-80.4670748,,,Conservation Authority,,,,,,,,
ODI ,Nonquon River:40964,,,,,,,44.072969,-79.0157252,,,Private,,,,,,,,
ODI ,Fish Club Dam,,,,,,,43.7820734,-80.1365262,,,Private,,,,,,,,
ODI ,,,,,,,,43.1263707,-79.1912178,,,Private,,,,,,,,
ODI ,City of Hamilton,,,,,,,43.3036,-79.937,,,Municipal,,,,,,,,
ODI ,,,,,,,,43.372573,-80.983743,,,Private,,,,,,,,
ODI ,,,,,,,,43.2601555,-81.1453444,,,Private,,,,,,,,
ODI ,,,,,,,,42.9799744,-81.5075995,,,Private,,,,,,,,
ODI ,,,,,,,,42.9372899,-80.2521847,,,Private,,,,,,,,
ODI ,Mill Road Dam,,,,,,,42.88943,-81.46256,,,Municipal,,,,,,,,
ODI ,Springwater Pond Dam ID B16,,,,,,,42.7458074,-81.0340456,,,Private,,,,,,,,
ODI ,Graham Lake Millpond Dam,,,,,,,44.5580648,-75.9030512,,,Provincial,,,,,,,,
ODI ,Ayers Lake Dam,,,,,,,45.5449776,-79.2581079,,,Provincial,,,,,,,,
ODI ,Buck Lake Dam,,,,,,,45.4059507,-79.362387,,,Provincial,,,,,,,,
ODI ,Hollow Lake (Kawagama) Dam,,,,,,,45.3039735,-78.7740075,,,Provincial,,,,,,,,
ODI ,Kashagaba Lake Dam,,,,,,,45.715015,-80.1339918,,,Provincial,,,,,,,,
ODI ,Whitestone River Dam,,,,,,,45.6731768,-79.8967479,,,Provincial,,,,,,,,
ODI ,White Lake Dam,,,,,,,45.3596036,-76.4978257,,,Provincial,,,,,,,,
ODI ,Canoe (Bardney) Lake Dam,,,,,,,47.2888942,-82.4490368,,,Private,,,,,,,,
ODI ,McQuaby Lake Dam,,,,,,,46.0483741,-79.5660166,,,Provincial,,,,,,,,
ODI ,Wakomata Lake Dam,,,,,,,46.5606297,-83.4053508,,,Provincial,,,,,,,,
ODI ,Evangeline Lake Dam,,,,,,,46.1372495,-81.9007835,,,Provincial,,,,,,,,
ODI ,Windy Lake Dam,,,,,,,46.5970341,-81.4067997,,,Provincial,,,,,,,,
ODI ,Wanapitei River Dam,,,,,,,47.4472651,-81.5937868,,,Provincial,,,,,,,,
ODI ,Gowganda Lake Dam,,,,,,,47.6542195,-80.7839202,,,Provincial,,,,,,,,
ODI ,Mozhabong Lake Dam,,,,,,,47.035723,-82.1385646,,,Private,,,,,,,,
ODI ,DAM-03-8406,,,,,,,48.1725334,-80.0161022,,,Private,,,,,,,,
ODI ,Parks Creek Backflood Control Structure,,,,,,,46.2762865,-79.4460054,,,Private,,,,,,,,
ODI ,Ministic Lake Dam,,,,,,,46.5470536,-81.5678396,,,Private,,,,,,,,
ODI ,West Davignon Channel 2,,,,,,,46.536859,-84.397306,,,Private,,,,,,,,
ODI ,Douro Dam,,,,,,,44.3904,-78.2701,,,Federal,,,,,,,,
ODI ,Mayhew Creek Flood Control,,,,,,,44.1068652,-77.6200396,,,Private,,,,,,,,
ODI ,,,,,,,,44.3322308,-77.6273618,,,Private,,,,,,,,
ODI ,SVCA055,,,,,,,44.0650077,-80.792849,,,Private,,,,,,,,
ODI ,SVCA153,,,,,,,44.2138553,-80.8286549,,,Private,,,,,,,,
ODI ,SVCA177 (Markdale Rotary Club Pool),,,,,,,44.3125005,-80.6562223,,,Municipal,,,,,,,,
ODI ,SVCA129,,,,,,,44.1901136,-80.7626731,,,Private,,,,,,,,
ODI ,Laurel Creek Dam,,,,,,,43.4839105,-80.5711161,,,Conservation Authority,,,,,,,,
ODI ,Lot 16; Concession 7 Wellington Wellington North,,,,,,,43.8904075,-80.6650574,,,Private,,,,,,,,
ODI ,Aberfoyle Mill,,,,,,,43.4703267,-80.1434192,,,Private,,,,,,,,
ODI ,,,,,,,,43.9690618,-78.926719,,,Private,,,,,,,,
ODI ,Philip Murray Ave,,,,,,,43.8564338,-78.8691953,,,Private,,,,,,,,
ODI ,East Humber River:40983,,,,,,,43.9240977,-79.6034391,,,Private,,,,,,,,
ODI ,Centerville Creek:41113,,,,,,,43.8762566,-79.8856906,,,Private,,,,,,,,
ODI ,,,,,,,,42.0679825,-82.6349544,,,Private,,,,,,,,
ODI ,Cache Lake Dam,,,,,,,45.5494735,-78.5675306,,,Provincial,,,,,,,,
ODI ,Armstrong Lake Dam,,,,,,,46.5346405,-81.5946308,,,Private,,,,,,,,
ODI ,Pogamasing Lake Dam,,,,,,,46.9662047,-81.8180602,,,Private,,,,,,,,
ODI ,,,,,,,,45.5349409,-77.4149246,,,Private,,,,,,,,
